zip_code,refnis,pop_dens,income_1y,income_17y,province,commune,big_5_dist,big_15_dist
6690,82032,56,19509.72,15465.52,Luxembourg,Vielsalm,68,68
6692,82032,56,19509.72,15465.52,Luxembourg,Vielsalm,68,68
6698,82032,56,19509.72,15465.52,Luxembourg,Vielsalm,68,68
6700,81001,262,24847.89,20239.18,Luxembourg,Arlon,125,124
6704,81001,262,24847.89,20239.18,Luxembourg,Arlon,125,124
6706,81001,262,24847.89,20239.18,Luxembourg,Arlon,125,124
6717,81003,81,29955.47,22473.64,Luxembourg,Attert,116,116
6720,85046,84,24090.15,18759.23,Luxembourg,Habay,122,110
6721,85046,84,24090.15,18759.23,Luxembourg,Habay,122,110
6723,85046,84,24090.15,18759.23,Luxembourg,Habay,122,110
6724,85046,84,24090.15,18759.23,Luxembourg,Habay,122,110
6730,85039,56,22222.1,16792.22,Luxembourg,Tintigny,130,108
6740,85009,75,25189.45,19729.98,Luxembourg,Etalle,130,113
6741,85009,75,25189.45,19729.98,Luxembourg,Etalle,130,113
6742,85009,75,25189.45,19729.98,Luxembourg,Etalle,130,113
6743,85009,75,25189.45,19729.98,Luxembourg,Etalle,130,113
6747,85034,102,23889.26,19034.81,Luxembourg,Saint-Léger,138,124
6750,85026,131,21963.89,17051.43,Luxembourg,Musson,143,138
6760,85045,118,20743.58,16315.23,Luxembourg,Virton,144,128
6761,85045,118,20743.58,16315.23,Luxembourg,Virton,144,128
6762,85045,118,20743.58,16315.23,Luxembourg,Virton,144,128
6767,85047,76,20213.7,15880.36,Luxembourg,Rouvroy,147,131
6769,85024,51,20794.95,16253.47,Luxembourg,Meix-devant-Virton,141,125
6780,81015,162,26040.58,20534.57,Luxembourg,Messancy,135,132
6781,81015,162,26040.58,20534.57,Luxembourg,Messancy,135,132
6782,81015,162,26040.58,20534.57,Luxembourg,Messancy,135,132
6790,81004,386,19429.89,16027.64,Luxembourg,Aubange,139,137
6791,81004,386,19429.89,16027.64,Luxembourg,Aubange,139,137
6792,81004,386,19429.89,16027.64,Luxembourg,Aubange,139,137
6800,84077,66,21132.73,16785.37,Luxembourg,Libramont-Chevigny,109,79
6810,85007,46,20441.19,16093.68,Luxembourg,Chiny,132,111
6811,85007,46,20441.19,16093.68,Luxembourg,Chiny,132,111
6812,85007,46,20441.19,16093.68,Luxembourg,Chiny,132,111
6813,85007,46,20441.19,16093.68,Luxembourg,Chiny,132,111
6820,85011,39,19601.9,15610.13,Luxembourg,Florenville,134,109
6821,85011,39,19601.9,15610.13,Luxembourg,Florenville,134,109
6823,85011,39,19601.9,15610.13,Luxembourg,Florenville,134,109
6824,85011,39,19601.9,15610.13,Luxembourg,Florenville,134,109
6830,84010,36,19330.16,15089.01,Luxembourg,Bouillon,125,91
6831,84010,36,19330.16,15089.01,Luxembourg,Bouillon,125,91
6832,84010,36,19330.16,15089.01,Luxembourg,Bouillon,125,91
6833,84010,36,19330.16,15089.01,Luxembourg,Bouillon,125,91
6834,84010,36,19330.16,15089.01,Luxembourg,Bouillon,125,91
6836,84010,36,19330.16,15089.01,Luxembourg,Bouillon,125,91
6838,84010,36,19330.16,15089.01,Luxembourg,Bouillon,125,91
6840,84043,72,20514.34,16138.04,Luxembourg,Neufchâteau,112,88
6850,84050,49,19720.79,15081.29,Luxembourg,Paliseul,112,76
6851,84050,49,19720.79,15081.29,Luxembourg,Paliseul,112,76
6852,84050,49,19720.79,15081.29,Luxembourg,Paliseul,112,76
6853,84050,49,19720.79,15081.29,Luxembourg,Paliseul,112,76
6856,84050,49,19720.79,15081.29,Luxembourg,Paliseul,112,76
6860,84033,33,21840.94,16847.73,Luxembourg,Léglise,113,97
